Fecha,Nubes,B02,B03,B04,B08,B05,B06,B07,B11,B12,B01,B09,Estacion
2017-09-29T11:16:02Z,0.2,1998,2387,2543,2675,3047,3019,2955,2876,2298,952,1928,4
2017-12-05T11:04:26Z,0,1462,2104,2079,2288,2649,2340,2298,2025,1706,519,971,4
2018-09-24T11:14:16Z,0,2258,2470,2862,2954,3818,3958,3647,3351,2341,1221,1950,4
2018-02-08T11:02:11Z,0.23,2465,3751,3952,3471,2759,3527,3140,2865,2348,844,1272,4
2018-11-30T11:09:58Z,5.25,2152,2756,2994,2924,2685,2495,2528,1974,1455,777,1260,4
2018-06-13T11:09:57Z,0.42,4304,4372,5208,5028,5592,5401,5697,4865,3462,1852,2667,4
2018-06-26T11:18:03Z,0,3344,3828,4244,4452,4679,4423,4496,3910,2887,1533,2450,4
2017-04-12T11:17:08Z,0,2586,3037,3298,3367,2783,2774,2819,3188,2503,1574,1967,4
2017-07-01T11:17:46Z,0.97,3263,3659,3948,4176,3382,3099,3472,3399,2767,1410,2235,4
2018-07-26T11:16:15Z,0,3228,3596,4094,4148,4591,4192,3974,3645,2749,1516,2379,4
2017-09-16T11:05:23Z,2.59,2620,2623,3338,3005,3310,3391,3749,3487,2881,1195,1930,4
2018-08-25T11:16:24Z,0,2358,2756,3238,3452,3694,3658,3454,3447,2524,1257,2269,4
2017-09-19T11:18:08Z,1.21,2181,2677,3095,3311,3324,3274,3044,3156,2530,964,2075,4
2018-09-19T11:12:56Z,1.62,1596,1936,2386,2536,3131,3018,2909,2908,2462,917,1841,4
2019-03-10T11:26:22Z,0,2480,2750,3178,3140,3466,3447,3110,3088,2496,1095,1878,4
2018-01-19T11:08:40Z,0,1847,2237,2420,2602,2413,2552,2740,2339,1938,509,1148,4
2018-06-13T10:57:37Z,1.11,4548,4604,5456,5224,5786,5530,5816,4900,3465,1804,2740,4
2019-01-04T11:10:05Z,0.02,1726,2064,2532,2585,1854,2340,2042,2124,1655,655,1193,4
2017-04-09T11:05:29Z,0,3140,3717,3788,3878,3653,4065,3381,3713,2941,1784,2069,4
2019-01-27T11:20:03Z,1.42,2404,2752,3076,3130,2021,1884,2475,2074,1709,633,1236,4
2018-07-13T11:05:21Z,1.27,3288,3838,4220,4248,5096,4618,4843,4417,3296,1657,2526,4
2018-08-07T10:59:12Z,1.38,2266,2636,2884,3308,3256,3376,3432,3507,2826,1356,2472,4
2017-07-31T11:12:20Z,0,3347,3548,3880,3994,3108,3161,3098,3264,2598,1240,2249,4
2018-02-06T11:17:36Z,2.48,2018,2166,2445,2536,2868,2628,2455,2391,1819,869,1339,4
2018-09-16T11:09:46Z,4.21,3444,3886,4082,4312,3796,3418,3664,3561,2880,1242,2016,4
2017-11-18T11:16:33Z,0,1423,1820,1855,1791,2010,2046,1945,2109,1504,836,1077,4
2018-01-17T11:14:03Z,0.01,1729,2101,2270,2253,2250,2084,1934,2182,1655,781,1195,4
2018-07-11T11:11:39Z,0.01,1902,2144,2598,2854,2806,3191,2940,3351,2642,1171,2140,4
2018-10-29T11:17:09Z,5.15,1934,2052,2524,2522,2331,2370,2304,2131,1815,729,1415,4
2019-01-14T11:10:03Z,0,2400,2664,2966,3044,2427,2197,2539,2257,1890,693,1163,4
2018-06-23T11:05:20Z,0,4006,4608,4971,5230,5377,5344,5249,4652,3244,1895,2926,4
2019-02-26T11:34:02Z,0,2304,2588,2912,3142,3002,2906,2576,2459,1968,850,1520,4
2017-06-21T11:12:22Z,0.11,2377,2982,3446,3658,3271,2884,2953,3385,2586,1162,2285,4
2019-02-21T11:20:00Z,0,1556,1946,2260,2414,2690,2587,2735,2646,2070,907,1793,4
2017-09-06T11:01:39Z,1.89,2395,3221,3526,3735,3814,3848,3577,3649,2963,1247,2334,4
2018-10-24T11:18:39Z,0,2150,2564,2934,2858,2765,2903,2797,2509,1872,892,1763,4
2019-01-02T11:19:57Z,0.06,1288,1668,1870,1688,2456,2121,2014,2148,1455,719,1439,4
2018-10-04T11:19:20Z,0,2014,2380,2684,2696,3326,3251,3089,3167,2220,1135,1895,4
2017-05-22T11:09:12Z,0.02,2628,2972,3133,3344,2964,3321,3349,3287,2686,1689,2178,4
2017-07-28T11:04:06Z,0,2776,3198,3651,4067,3661,3613,4028,3955,3274,1452,2572,4
2019-03-13T11:36:26Z,0.36,643,799,1028,1094,1236,1327,1298,1480,1291,632,1326,8
2018-08-27T11:06:38Z,0,942,1028,1344,1463,1598,1593,1934,2131,1907,911,1872,8
2017-06-11T11:10:12Z,8.13,850,990,1283,1350,1485,1526,1572,2064,1779,964,1857,8
2018-02-21T11:12:02Z,0.79,607,694,887,901,1135,1215,1145,1490,1317,551,1127,8
2018-09-01T10:59:39Z,0,999,1209,1455,1483,1504,1657,1448,1867,1732,964,1914,8
2018-02-18T11:05:29Z,4.18,706,738,921,1052,1224,1517,1603,1558,1419,639,1269,8
2018-08-30T11:14:49Z,0.18,832,938,1106,1196,1501,1676,1705,1923,1879,765,1607,8
2019-02-13T11:10:06Z,0,606,731,855,913,1192,1475,1552,1672,1500,721,1416,8
2017-06-01T11:12:25Z,1.04,910,1028,1223,1427,1393,1807,1794,1933,1861,1001,2019,8
2019-02-26T11:34:02Z,0,616,719,849,998,1234,1429,1339,1431,1300,636,1178,8
2018-07-16T11:10:23Z,1.22,805,963,1230,1344,1397,1691,1584,1788,1749,936,1904,8
2018-08-25T11:16:24Z,0,816,1032,1178,1372,1452,1541,1549,1676,1565,813,1474,8
2017-06-18T11:04:15Z,1.46,940,1283,1472,1719,1618,1925,2016,2232,1993,1085,2296,8
2018-07-18T11:03:26Z,1.3,1002,1116,1331,1540,1823,1782,2142,2378,2138,1039,2046,8
2018-02-06T11:17:36Z,2.48,396,541,699,904,811,833,795,1056,875,285,921,8
2018-07-23T11:05:18Z,0,1118,1354,1617,1651,1581,1877,1770,2084,1871,1081,2122,8
2018-02-08T11:02:11Z,0.23,520,616,789,822,1276,1241,1206,1471,1378,583,1205,8
2017-05-22T11:09:12Z,0.02,889,922,1197,1363,1329,1508,1712,1923,1792,1015,1946,8
2018-11-30T11:09:58Z,5.25,235,278,316,320,404,380,408,381,288,402,442,8
2019-01-27T11:20:03Z,1.42,510,611,688,768,1150,1067,1209,1299,1225,495,992,8
2018-12-30T11:10:00Z,0,459,623,899,936,1069,1062,934,1174,1035,592,1418,8
2018-07-13T11:05:21Z,1.27,818,863,932,1158,1183,1222,1271,1490,1207,1055,1721,8
2019-03-18T11:34:05Z,0.03,675,763,966,1036,1158,1469,1374,1596,1522,616,1401,8
